,ques_id,question,image_id,answer_type,question_type,gt_answer,pred,acc,beam_scores,expert_route,id
10,299845,Is this at a salt water beach or a lake?,29984,other,seven,"['salt water beach', 'salt water beach', 'salt water beach', 'salt water beach', 'salt water', 'salt water', 'lake', 'lake', 'beach', 'beach']",lake,60.0,0.0217423178255558,"[1, 0, 1, 0, 1, 1]",21.0
11,115115,Who designed the statues?,11511,other,other,"['artist', 'artist', 'artist', 'artist', 'guell', 'guell', 'toscano', 'toscano', 'aritect', 'aritect']",artist,100.0,0.01808025874197483,"[1, 0, 0, 1, 0, 0]",23.0
12,3234605,What is the name of the items the hot dog are topped with?,323460,other,five,"['condiments', 'condiments', 'condiments', 'condiments', 'onions relish', 'onions relish', 'vegetables', 'vegetables', 'relish', 'relish']",relish,60.0,0.02776411920785904,"[0, 1, 0, 1, 0, 0]",26.0
13,5169165,What is this desk used for?,516916,other,other,"['working', 'working', 'working', 'working', 'computing', 'computing', 'work', 'work', 'office', 'office']",work,60.0,0.022087663412094116,"[0, 0, 1, 1, 0, 1]",23.0
14,217115,What type of bike is on the ground?,21711,other,one,"['bmx', 'bmx', 'bmx', 'bmx', 'bicycle', 'bicycle', 'bicycle', 'bicycle', '10 speed', '10 speed']",dirt bike,0.0,0.017220109701156616,"[1, 0, 1, 1, 1, 0]",4.0
15,3133865,What type of plane is that?,313386,other,one,"['commercial', 'commercial', 'commercial', 'commercial', 'passenger', 'passenger', 'quantas', 'quantas', 'md 80', 'md 80']",commercial,100.0,0.020801547914743423,"[1, 1, 0, 1, 0, 0]",13.0
16,4026395,Is this a room for a boy or girl?,402639,other,seven,"['girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl']",girl,100.0,0.020733827725052834,"[0, 0, 1, 1, 1, 0]",20.0
17,4575845,In what year was this desert first introduced?,457584,other,three,"['1847', '1847', '1847', '1847', '1860', '1860', '1934', '1934', '1900s', '1900s']",1843,0.0,0.024255864322185516,"[0, 1, 0, 1, 0, 0]",6.0
18,4883775,What is this surf trick called?,488377,other,four,"['riding', 'riding', 'riding', 'riding', 'tube ride', 'tube ride', 'ollie', 'ollie', 'wave runner', 'wave runner']",jump,0.0,0.02055388130247593,"[1, 0, 1, 0, 1, 1]",5.0
19,3017535,What do they call running around the bases on a single hit?,301753,other,four,"['homerun', 'homerun', 'homerun', 'homerun', 'homerun', 'homerun', 'home run', 'home run', 'home run', 'home run']",run,0.0,0.0172151830047369,"[0, 1, 1, 0, 1, 0]",26.0
20,1833195,Why is this plugged in?,183319,other,nine,"['charging', 'charging', 'charging', 'charging', 'to have power and work', 'to have power and work', 'power', 'power', 'outlet', 'outlet']",power,60.0,0.019795548170804977,"[0, 1, 0, 1, 0, 0]",27.0
21,3970635,What is the shape?,397063,other,three,"['circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'round', 'round', 'round', 'round']",circle,100.0,0.023231428116559982,"[0, 1, 0, 1, 0, 0]",0.0
22,4976605,What is the horsepower of the truck pulling the load?,497660,other,one,"['510', '510', '510', '510', '510', '510', '420', '420', '500', '500']",unknown,0.0,0.017871320247650146,"[1, 1, 0, 1, 0, 0]",17.0
23,2357845,What kind of skiing is this person engaged in?,235784,other,other,"['cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country']",cross country,100.0,0.020979151129722595,"[1, 0, 0, 0, 1, 1]",27.0
24,3190735,What is the person in the photo wearing?,319073,other,other,"['wetsuit', 'wetsuit', 'wetsuit', 'wetsuit', 'suit', 'suit', 'wet suit', 'wet suit', 'trunks', 'trunks']",wetsuit,100.0,0.022783460095524788,"[1, 0, 0, 0, 1, 1]",22.0
25,5144685,What is the name of the board he is on?,514468,other,four,"['surf board', 'surf board', 'surf board', 'surf board', 'surfboard', 'surfboard', 'surfboard', 'surfboard', 'surf', 'surf']",surfboard,100.0,0.017126550897955894,"[1, 1, 1, 0, 1, 1]",13.0
26,4371265,Name the material used to make this car seat shown in this picture?,437126,other,eight,"['cloth', 'cloth', 'cloth', 'cloth', 'nylon', 'nylon', 'polyester', 'polyester', 'leather', 'leather']",leather,60.0,0.02001173421740532,"[0, 0, 1, 0, 1, 1]",15.0
27,5182875,What part of the face is the toothbrush in?,518287,other,three,"['mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'happy', 'happy']",mouth,100.0,0.02278265729546547,"[0, 1, 0, 1, 0, 0]",30.0
28,3804595,What flavor is this pastry?,380459,other,five,"['blueberry', 'blueberry', 'blueberry', 'blueberry', 'cream cheese', 'cream cheese', 'chocolate', 'chocolate', 'strawberry', 'strawberry']",vanilla,0.0,0.025614039972424507,"[0, 1, 0, 1, 0, 0]",17.0
29,5002005,What kind of container are the flowers in?,500200,other,eight,"['vase', 'vase', 'vase', 'vase', 'vase', 'vase', 'trolley', 'trolley', 'pots', 'pots']",vase,100.0,0.021175460889935493,"[0, 0, 0, 1, 0, 0]",7.0
30,3156685,What country does this appear to be?,315668,other,eight,"['scotland', 'scotland', 'scotland', 'scotland', 'scotland', 'scotland', 'usa', 'usa', 'england', 'england']",england,60.0,0.017570072785019875,"[0, 1, 0, 0, 1, 0]",16.0
31,3736625,Which of the foods in the picture is best for you to eat when you have a cold?,373662,other,five,"['soup', 'soup', 'soup', 'soup', 'soup', 'soup', 'chicken soup', 'chicken soup', 'fruit', 'fruit']",soup,100.0,0.027686309069395065,"[0, 1, 0, 1, 0, 0]",7.0
32,4293695,What do teenage pranksters do to this animal?,429369,other,eight,"['tip', 'tip', 'tip', 'tip', 'tip', 'tip', 'tip', 'tip', 'tipping', 'tipping']",nothing,0.0,0.020522404462099075,"[1, 0, 1, 0, 1, 1]",10.0
33,4273415,How many watts is that microwave?,427341,other,seven,"['800', '800', '800', '800', '120', '120', '1000', '1000', '100', '100']",1000,60.0,0.01874527521431446,"[0, 0, 0, 1, 0, 0]",29.0
34,3938365,What is this type of blanket called?,393836,other,three,"['quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'patchwork', 'patchwork']",quilt,100.0,0.018093548715114594,"[1, 0, 0, 1, 0, 0]",15.0
35,179845,What south american country usually has this climate?,17984,other,eight,"['brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'africa', 'africa', 'ecuador', 'ecuador']",brazil,100.0,0.021761449053883553,"[1, 0, 1, 0, 1, 1]",14.0
36,3268375,What american restaurant features an open kitchen with visible cooking area such as this?,326837,other,five,"['diner', 'diner', 'diner', 'diner', 'diner', 'diner', ""denny's"", ""denny's"", 'waffle house', 'waffle house']",fast food,0.0,0.01959829404950142,"[1, 0, 1, 1, 0, 0]",11.0
37,2780325,What other big vehicle is often painted about the same shade as this vehicle?,278032,other,one,"['firetruck', 'firetruck', 'firetruck', 'firetruck', 'firetruck', 'firetruck', 'firetrucks', 'firetrucks', 'fire truck', 'fire truck']",bus,0.0,0.017494212836027145,"[1, 1, 1, 0, 0, 0]",2.0
38,1110325,What brand is this wine?,111032,other,five,"['becker vineyards', 'becker vineyards', 'becker vineyards', 'becker vineyards', 'becker vineyard', 'becker vineyard', 'becker vineyard', 'becker vineyard', 'becker', 'becker']",clarit,0.0,0.03494346886873245,"[0, 1, 0, 1, 0, 0]",20.0
39,5096415,What would happen if these items fall to the ground?,509641,other,three,"['shatter', 'shatter', 'shatter', 'shatter', 'they would shatter', 'they would shatter', 'break', 'break', 'they would break', 'they would break']",break,60.0,0.021832849830389023,"[0, 1, 1, 1, 0, 0]",23.0
40,3413095,What brand of suit is the man in the image wearing?,341309,other,seven,"['brooks brothers', 'brooks brothers', 'brooks brothers', 'brooks brothers', 'gorgio armani', 'gorgio armani', 'name brand', 'name brand', 'gucchi', 'gucchi']",armani,0.0,0.02210734225809574,"[0, 1, 0, 1, 0, 0]",22.0
41,1121605,Where might i buy a print that resembles this photo?,112160,other,seven,"['gallery', 'gallery', 'gallery', 'gallery', 'store', 'store', 'target', 'target', 'walmart', 'walmart']",store,60.0,0.017932167276740074,"[0, 0, 1, 0, 1, 0]",25.0
42,2645405,What are the rolled black food items called?,264540,other,other,"['sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi']",sushi,100.0,0.025359991937875748,"[0, 1, 0, 1, 0, 0]",14.0
43,1089825,What type of bird is this?,108982,other,eight,"['blue jay', 'blue jay', 'blue jay', 'blue jay', 'bluebird', 'bluebird', 'songbird', 'songbird', 'goldfinch', 'goldfinch']",blue bird,0.0,0.018116727471351624,"[0, 0, 1, 0, 1, 0]",13.0
44,2929715,How can you tell that the people are not upset?,292971,other,five,"['they are smiling', 'they are smiling', 'they are smiling', 'they are smiling', 'smiles', 'smiles', 'smiles', 'smiles', 'smiling', 'smiling']",smiling,60.0,0.0188291072845459,"[0, 1, 1, 0, 1, 0]",16.0
45,1902045,How fast is the vehicle pictured capable of reaching?,190204,other,one,"['80 mph', '80 mph', '80 mph', '80 mph', '100 mph', '100 mph', '100 mph', '100 mph', '10mph', '10mph']",50 mph,0.0,0.01888025552034378,"[1, 0, 0, 0, 1, 0]",8.0
46,3774865,Name the type of hat the man is wearing?,377486,other,four,"['cowboy', 'cowboy', 'cowboy', 'cowboy', 'sombrero', 'sombrero', 'sombrero', 'sombrero', 'stetson', 'stetson']",cowboy,100.0,0.01981792226433754,"[0, 1, 0, 0, 1, 0]",18.0
47,1282805,What sates are these grown in?,128280,other,five,"['florida california', 'florida california', 'florida california', 'florida california', 'california', 'california', 'california', 'california', 'florida', 'florida']",tree,0.0,0.02211092598736286,"[0, 1, 0, 1, 0, 0]",19.0
48,1318415,How does the bread taste?,131841,other,five,"['good', 'good', 'good', 'good', 'like bread', 'like bread', 'sweet', 'sweet', 'delicious', 'delicious']",good,100.0,0.022366410121321678,"[0, 1, 0, 1, 0, 0]",9.0
49,1305165,What is this type of mack truck used for?,130516,other,one,"['cement', 'cement', 'cement', 'cement', 'cement', 'cement', 'cement', 'cement', 'road work', 'road work']",construction,0.0,0.021328149363398552,"[1, 1, 0, 1, 0, 0]",14.0
50,2845485,What type of platform should this vehicle be on?,284548,other,one,"['tracks', 'tracks', 'tracks', 'tracks', 'tracks', 'tracks', 'railroad', 'railroad', 'rails', 'rails']",train,0.0,0.017378414049744606,"[1, 0, 1, 1, 1, 0]",20.0
51,5069455,What is the term for the effect used in this photo?,506945,other,nine,"['fisheye', 'fisheye', 'fisheye', 'fisheye', 'reflection', 'reflection', 'zoom', 'zoom', 'wide angle', 'wide angle']",fisheye,100.0,0.02065356634557247,"[0, 1, 0, 1, 0, 0]",25.0
52,4247445,What is the small white outdoor house like building called?,424744,other,ten,"['gazebo', 'gazebo', 'gazebo', 'gazebo', 'gazebo', 'gazebo', 'shed', 'shed', 'casida', 'casida']",gazebo,100.0,0.02181118354201317,"[1, 0, 1, 0, 1, 1]",17.0
53,5681485,What can the woman do with this toy?,568148,other,other,"['throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw', 'throw']",play,0.0,0.01791398786008358,"[0, 0, 0, 1, 1, 0]",2.0
54,857725,Is this boy a professional player or still in high school?,85772,other,four,"['high school', 'high school', 'high school', 'high school', 'high school', 'high school', 'high school', 'high school', 'school', 'school']",high school,100.0,0.018744511529803276,"[0, 0, 0, 0, 1, 0]",31.0
55,1396845,What is the decorative fabric on the floor called?,139684,other,three,"['rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'carpet', 'carpet']",rug,100.0,0.020825054496526718,"[1, 0, 1, 1, 0, 1]",0.0
56,4732085,Is this in a home kitchen or commercial kitchen?,473208,other,five,"['commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial']",commercial,100.0,0.019217900931835175,"[0, 1, 1, 0, 0, 0]",4.0
57,3030245,Which type of helmet is used by the sport person shown in this picture?,303024,other,four,"['batters', 'batters', 'batters', 'batters', 'batting helmet', 'batting helmet', 'batting helmet', 'batting helmet', 'batters helmet', 'batters helmet']",batting helmet,100.0,0.01835995353758335,"[1, 0, 0, 0, 1, 0]",3.0
58,5342525,Which brand of slipper is shown in this picture?,534252,other,eight,"['birkenstock', 'birkenstock', 'birkenstock', 'birkenstock', 'birkenstock', 'birkenstock', 'adidas', 'adidas', 'sandal', 'sandal']",birkenstock,100.0,0.023435404524207115,"[0, 1, 0, 1, 0, 0]",22.0
59,1649245,Who directed the 2012 movie shown on the television in the picture?,164924,other,seven,"['joss whedon', 'joss whedon', 'joss whedon', 'joss whedon', 'joss whedon', 'joss whedon', 'joss wedon', 'joss wedon', 'gunn', 'gunn']",joss whedon,100.0,0.02245795726776123,"[0, 1, 0, 1, 0, 0]",10.0
60,1197855,What time of day is it?,119785,other,five,"['noon', 'noon', 'noon', 'noon', 'afternoon', 'afternoon', 'night', 'night', 'lunch', 'lunch']",night,60.0,0.020954636856913567,"[0, 1, 0, 1, 0, 0]",2.0
61,511915,Is this bathroom high or low end?,51191,other,seven,"['high', 'high', 'high', 'high', 'high', 'high', 'high end', 'high end', 'high end', 'high end']",high,100.0,0.02178455889225006,"[1, 0, 1, 1, 1, 1]",19.0
62,1943135,Name one famous person whom also has a black and white one of these?,194313,other,eight,"['taylor swift', 'taylor swift', 'taylor swift', 'taylor swift', 'russell brand', 'russell brand', 'hillary clinton', 'hillary clinton', 'ernest hemingway', 'ernest hemingway']",mark twain,0.0,0.016907282173633575,"[0, 0, 1, 1, 0, 0]",14.0
63,3325125,Which item in this room is usually to wash hands?,332512,other,seven,"['sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink']",sink,100.0,0.021276086568832397,"[1, 0, 0, 1, 0, 1]",21.0
64,3763585,What are the white objects on this animals head called?,376358,other,eight,"['horns', 'horns', 'horns', 'horns', 'horns', 'horns', 'hornes', 'hornes', 'tusk', 'tusk']",horn,0.0,0.020250579342246056,"[0, 0, 1, 0, 1, 1]",14.0
65,3959785,Which airline has this insignia?,395978,other,one,"['kuwait airways', 'kuwait airways', 'kuwait airways', 'kuwait airways', 'united', 'united', 'delta', 'delta', 'twa', 'twa']",egyptair,0.0,0.024736857041716576,"[1, 1, 0, 1, 0, 0]",12.0
66,2162545,When was the cola brand on the signs founded?,216254,other,two,"['1892', '1892', '1892', '1892', '1851', '1851', ""1870's"", ""1870's"", '1800', '1800']",1886,0.0,0.033121876418590546,"[1, 1, 0, 1, 0, 0]",31.0
67,2913705,What type of hat is this gentleman wearing?,291370,other,other,"['top', 'top', 'top', 'top', 'top hat', 'top hat', 'top hat', 'top hat', 'tophat', 'tophat']",top hat,100.0,0.0205108392983675,"[1, 0, 0, 0, 0, 1]",16.0
68,3304055,What character does this clock look like?,330405,other,three,"['mickey mouse', 'mickey mouse', 'mickey mouse', 'mickey mouse', 'mickey mouse', 'mickey mouse', 'mouse', 'mouse', 'wall e', 'wall e']",mickey mouse,100.0,0.02505571022629738,"[0, 1, 0, 1, 0, 0]",21.0
69,505145,What fruit comes from these trees?,50514,other,six,"['coconut', 'coconut', 'coconut', 'coconut', 'coconut', 'coconut', 'pineapples', 'pineapples', 'banana', 'banana']",banana,60.0,0.018933983519673347,"[1, 0, 1, 0, 1, 0]",9.0
70,5666345,What type of skiing is being done here?,566634,other,four,"['cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'snow skiing', 'snow skiing']",cross country,100.0,0.018552934750914574,"[1, 0, 0, 0, 1, 1]",6.0
71,1569995,What is this animal famously known for?,156999,other,eight,"['long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'neck', 'neck']",long neck,100.0,0.018571358174085617,"[0, 0, 1, 0, 1, 1]",17.0
72,4535205,Are these animals mammals or insects?,453520,other,eight,"['mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'animals', 'animals']",mammals,100.0,0.020411401987075806,"[1, 0, 1, 0, 1, 1]",31.0
73,3282845,If it gets cold enough what will happen to the area being stepped over?,328284,other,ten,"['freeze', 'freeze', 'freeze', 'freeze', 'frozen', 'frozen', 'it will freeze over', 'it will freeze over', 'iced', 'iced']",frozen,60.0,0.020933400839567184,"[1, 0, 0, 0, 1, 1]",18.0
74,2335535,How tall do these animals get?,233553,other,eight,"['20 feet', '20 feet', '20 feet', '20 feet', '8 feey', '8 feey', '10 feet', '10 feet', '12 ft', '12 ft']",20 feet,100.0,0.022630376741290092,"[0, 0, 1, 0, 1, 1]",29.0
75,3589765,What is the breed of this cat?,358976,other,eight,"['american shorthair', 'american shorthair', 'tabby', 'tabby', 'tortoise shell', 'tortoise shell', 'tabbie', 'tabbie', 'calico', 'calico']",tabby,60.0,0.021138058975338936,"[0, 0, 0, 0, 1, 0]",17.0
76,1050405,Is this fruit or veggies?,105040,other,five,"['veggies', 'veggies', 'veggies', 'veggies', 'vegetable', 'vegetable', 'veeggies', 'veeggies', 'veggie', 'veggie']",veggies,100.0,0.026536963880062103,"[0, 1, 0, 1, 0, 0]",25.0
77,5379826,Why so many green vegetables?,537982,other,five,"['healthy', 'healthy', 'healthy', 'healthy', 'make salad', 'make salad', 'lots of vegetables are green', 'lots of vegetables are green', 'salad', 'salad']",yes,0.0,0.025384915992617607,"[0, 1, 0, 1, 0, 0]",9.0
78,2352215,What unpleasant emotional state does this weather phenomenon often cause?,235221,other,ten,"['depression', 'depression', 'depression', 'depression', 'shock', 'shock', 'fright', 'fright', 'fear', 'fear']",fear,60.0,0.019641708582639694,"[1, 1, 0, 1, 0, 0]",21.0
79,4854245,What kind of oven is on the table?,485424,other,five,"['toaster', 'toaster', 'toaster', 'toaster', 'toaster', 'toaster', 'toaster oven', 'toaster oven', 'ge', 'ge']",toaster,100.0,0.022160587832331657,"[1, 0, 1, 1, 0, 0]",10.0
80,2864225,How do people use this?,286422,other,one,"['sail', 'sail', 'sail', 'sail', 'sailing', 'sailing', 'sailing', 'sailing', 'to sail', 'to sail']",sail,100.0,0.020661190152168274,"[1, 0, 1, 0, 1, 1]",1.0
81,5192715,What small cloth is used to wipe the face or eating this meal?,519271,other,five,"['napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin']",napkin,100.0,0.022631876170635223,"[0, 1, 0, 1, 0, 0]",16.0
82,1449855,What is this truck moving?,144985,other,one,"['furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'goods', 'goods', 'cargo', 'cargo']",furniture,100.0,0.020863495767116547,"[1, 1, 0, 1, 0, 0]",24.0
83,5605665,Which phase is that moon in?,560566,other,three,"['half', 'half', 'half', 'half', 'half', 'half', 'half moon', 'half moon', 'half moon', 'half moon']",full,0.0,0.018578022718429565,"[1, 1, 1, 1, 1, 0]",16.0
84,3430685,What kind of animal is clearly displayed on the cover of this bed?,343068,other,three,"['deer', 'deer', 'deer', 'deer', 'deer', 'deer', 'elk', 'elk', 'moose', 'moose']",deer,100.0,0.020313426852226257,"[1, 0, 0, 1, 0, 0]",20.0
85,1527025,What is a type of horseback sport?,152702,other,four,"['polo', 'polo', 'polo', 'polo', 'racing', 'racing', 'racing', 'racing', 'riding', 'riding']",polo,100.0,0.01892537623643875,"[1, 0, 0, 0, 1, 1]",31.0
86,1603935,What item might be used to warm this item of furniture?,160393,other,ten,"['electric blanket', 'electric blanket', 'electric blanket', 'electric blanket', 'blanker', 'blanker', 'clothes dryer', 'clothes dryer', 'blanket', 'blanket']",blanket,60.0,0.021000295877456665,"[1, 0, 1, 1, 0, 1]",3.0
87,2597615,What fills the balloons?,259761,other,other,"['helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium']",air,0.0,0.021124107763171196,"[0, 1, 0, 1, 0, 0]",14.0
88,3883985,Would this article of furniture typically be for public or private use?,388398,other,seven,"['public', 'public', 'public', 'public', 'public', 'public', 'public', 'public', 'public', 'public']",public,100.0,0.02086145617067814,"[0, 0, 1, 0, 1, 1]",11.0
89,4071465,How many passengers can this plane accomodate?,407146,other,one,"['15', '15', '15', '15', '10', '10', '18', '18', '8', '8']",10,60.0,0.02428613416850567,"[1, 1, 0, 1, 0, 0]",18.0
90,5525735,What knocked the guy off his chair?,552573,other,four,"['wave', 'wave', 'wave', 'wave', 'wave', 'wave', 'water', 'water', 'water', 'water']",wave,100.0,0.017717555165290833,"[1, 0, 0, 1, 0, 0]",23.0
91,1000065,What is the purpose of the logos on this truck?,100006,other,one,"['identification', 'identification', 'identification', 'identification', 'advertising', 'advertising', 'advertising', 'advertising', 'sponsorship', 'sponsorship']",advertising,100.0,0.030928930267691612,"[1, 1, 0, 1, 0, 0]",3.0
92,5685555,What is the purpose of these objects?,568555,other,three,"['art', 'art', 'art', 'art', 'memorial', 'memorial', 'decoration', 'decoration', 'graves', 'graves']",art,100.0,0.017336342483758926,"[1, 0, 0, 1, 1, 0]",28.0
93,2873285,What happens here?,287328,other,eight,"['sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'resting', 'resting']",play,0.0,0.017621422186493874,"[0, 0, 0, 0, 1, 1]",18.0
94,5649115,What company is this plane flying for?,564911,other,one,"['oneworld', 'oneworld', 'oneworld', 'oneworld', '1 world', '1 world', '1 world', '1 world', 'not sure', 'not sure']",one world,100.0,0.02862946130335331,"[1, 1, 0, 1, 0, 0]",8.0
95,4471175,Name the type of curtains shown in this picture?,447117,other,three,"['drapes', 'drapes', 'drapes', 'drapes', 'rod pocket curtains', 'rod pocket curtains', 'big', 'big', 'lace', 'lace']",sheer,0.0,0.01931534707546234,"[1, 0, 1, 1, 0, 0]",27.0
96,3294555,What animal does the meat on the pizza come from?,329455,other,five,"['pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig']",cow,0.0,0.022672858089208603,"[0, 1, 0, 0, 0, 0]",12.0
97,1365725,How do you turn this on?,136572,other,one,"['key', 'key', 'key', 'key', 'key', 'key', 'ignition', 'ignition', 'with key', 'with key']",key,100.0,0.018524253740906715,"[1, 1, 1, 1, 1, 0]",13.0
98,5775245,How tall is this animal usually?,577524,other,eight,"['20 feet', '20 feet', '20 feet', '20 feet', '12 ft', '12 ft', '15 feet', '15 feet', '13ft', '13ft']",12 feet,0.0,0.023359443992376328,"[0, 0, 1, 0, 1, 1]",8.0
99,2707535,How much tomato sauce is in this dish?,270753,other,five,"['2 cups', '2 cups', '2 cups', '2 cups', 'half cup', 'half cup', '1 4 cup', '1 4 cup', '2 cans', '2 cans']",lot,0.0,0.027025045827031136,"[0, 1, 0, 1, 0, 0]",24.0
100,2231575,What brand of blue jeans is the skateboarder wearing?,223157,other,four,"['levis', 'levis', 'vans', 'vans', 'levi', 'levi', 'american', 'american', 'wrangler', 'wrangler']",levis,60.0,0.020220551639795303,"[1, 1, 0, 0, 0, 0]",4.0
101,3087645,Is this bird diurnal or nocturnal?,308764,other,eight,"['nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal']",nocturnal,100.0,0.01777077466249466,"[0, 0, 0, 0, 1, 1]",27.0
102,2940305,What is the white cloud behind the jet called?,294030,other,one,"['contrail', 'contrail', 'contrail', 'contrail', 'cloud', 'cloud', 'contrails', 'contrails', 'supersonic wave', 'supersonic wave']",contrail,100.0,0.019356749951839447,"[1, 0, 1, 0, 1, 0]",28.0
103,2741565,How heavy is this object?,274156,other,three,"['100 lbs', '100 lbs', '100 lbs', '100 lbs', 'very heavy', 'very heavy', '20 pounds', '20 pounds', '500 lbs', '500 lbs']",heavy,0.0,0.019552776589989662,"[1, 1, 1, 1, 0, 0]",26.0
104,5522215,What restaraunt is this at?,552221,other,five,"['pizzaria', 'pizzaria', 'pizzaria', 'pizzaria', 'pizzeria', 'pizzeria', 'pizza place', 'pizza place', 'italian', 'italian']",pizza,0.0,0.022514209151268005,"[0, 1, 1, 1, 0, 0]",8.0
105,4684875,What breed of dog is this?,468487,other,eight,"['chihuahua', 'chihuahua', 'chihuahua', 'chihuahua', 'mutt', 'mutt', 'hound', 'hound', 'pharoah', 'pharoah']",terrier,0.0,0.02064480260014534,"[0, 0, 0, 0, 1, 0]",17.0
106,5156125,What musical instrument is this man playing?,515612,other,seven,"['piano', 'piano', 'piano', 'piano', 'piano', 'piano', 'keyboard piano', 'keyboard piano', 'keyboard', 'keyboard']",keyboard,60.0,0.016832711175084114,"[1, 0, 0, 1, 0, 0]",16.0
107,2085245,Does this type of train transport people or cargo?,208524,other,one,"['cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo']",cargo,100.0,0.01784082129597664,"[1, 0, 0, 1, 1, 0]",21.0
108,1970975,What kind of dog is this?,197097,other,eight,"['lab', 'lab', 'lab', 'lab', 'dachsund', 'dachsund', 'cockerspaniel', 'cockerspaniel', 'retriever', 'retriever']",dachshund,0.0,0.01966138184070587,"[0, 0, 0, 0, 0, 1]",18.0
