,ques_id,question,image_id,answer_type,question_type,gt_answer,pred,acc
22,4976605,What is the horsepower of the truck pulling the load?,497660,other,one,"['510', '510', '510', '510', '510', '510', '420', '420', '500', '500']",400,0.0
23,2357845,What kind of skiing is this person engaged in?,235784,other,other,"['cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country']",cross country,100.0
24,3190735,What is the person in the photo wearing?,319073,other,other,"['wetsuit', 'wetsuit', 'wetsuit', 'wetsuit', 'suit', 'suit', 'wet suit', 'wet suit', 'trunks', 'trunks']",wetsuit,100.0
25,5144685,What is the name of the board he is on?,514468,other,four,"['surf board', 'surf board', 'surf board', 'surf board', 'surfboard', 'surfboard', 'surfboard', 'surfboard', 'surf', 'surf']",surfboard,100.0
26,4371265,Name the material used to make this car seat shown in this picture?,437126,other,eight,"['cloth', 'cloth', 'cloth', 'cloth', 'nylon', 'nylon', 'polyester', 'polyester', 'leather', 'leather']",leather,60.0
27,5182875,What part of the face is the toothbrush in?,518287,other,three,"['mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'happy', 'happy']",mouth,100.0
28,3804595,What flavor is this pastry?,380459,other,five,"['blueberry', 'blueberry', 'blueberry', 'blueberry', 'cream cheese', 'cream cheese', 'chocolate', 'chocolate', 'strawberry', 'strawberry']",vanilla,0.0
29,5002005,What kind of container are the flowers in?,500200,other,eight,"['vase', 'vase', 'vase', 'vase', 'vase', 'vase', 'trolley', 'trolley', 'pots', 'pots']",vase,100.0
30,3156685,What country does this appear to be?,315668,other,eight,"['scotland', 'scotland', 'scotland', 'scotland', 'scotland', 'scotland', 'usa', 'usa', 'england', 'england']",england,60.0
31,3736625,Which of the foods in the picture is best for you to eat when you have a cold?,373662,other,five,"['soup', 'soup', 'soup', 'soup', 'soup', 'soup', 'chicken soup', 'chicken soup', 'fruit', 'fruit']",soup,100.0
32,4293695,What do teenage pranksters do to this animal?,429369,other,eight,"['tip', 'tip', 'tip', 'tip', 'tip', 'tip', 'tip', 'tip', 'tipping', 'tipping']",nothing,0.0
33,4273415,How many watts is that microwave?,427341,other,seven,"['800', '800', '800', '800', '120', '120', '1000', '1000', '100', '100']",1000,60.0
34,3938365,What is this type of blanket called?,393836,other,three,"['quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'patchwork', 'patchwork']",quilt,100.0
35,179845,What south american country usually has this climate?,17984,other,eight,"['brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'africa', 'africa', 'ecuador', 'ecuador']",brazil,100.0
36,3268375,What american restaurant features an open kitchen with visible cooking area such as this?,326837,other,five,"['diner', 'diner', 'diner', 'diner', 'diner', 'diner', ""denny's"", ""denny's"", 'waffle house', 'waffle house']",diner,100.0
37,2780325,What other big vehicle is often painted about the same shade as this vehicle?,278032,other,one,"['firetruck', 'firetruck', 'firetruck', 'firetruck', 'firetruck', 'firetruck', 'firetrucks', 'firetrucks', 'fire truck', 'fire truck']",bus,0.0
38,1110325,What brand is this wine?,111032,other,five,"['becker vineyards', 'becker vineyards', 'becker vineyards', 'becker vineyards', 'becker vineyard', 'becker vineyard', 'becker vineyard', 'becker vineyard', 'becker', 'becker']",clarit,0.0
39,5096415,What would happen if these items fall to the ground?,509641,other,three,"['shatter', 'shatter', 'shatter', 'shatter', 'they would shatter', 'they would shatter', 'break', 'break', 'they would break', 'they would break']",break,60.0
40,3413095,What brand of suit is the man in the image wearing?,341309,other,seven,"['brooks brothers', 'brooks brothers', 'brooks brothers', 'brooks brothers', 'gorgio armani', 'gorgio armani', 'name brand', 'name brand', 'gucchi', 'gucchi']",armani,0.0
41,1121605,Where might i buy a print that resembles this photo?,112160,other,seven,"['gallery', 'gallery', 'gallery', 'gallery', 'store', 'store', 'target', 'target', 'walmart', 'walmart']",store,60.0
42,2645405,What are the rolled black food items called?,264540,other,other,"['sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi']",sushi,100.0
43,1089825,What type of bird is this?,108982,other,eight,"['blue jay', 'blue jay', 'blue jay', 'blue jay', 'bluebird', 'bluebird', 'songbird', 'songbird', 'goldfinch', 'goldfinch']",blue bird,0.0
44,2929715,How can you tell that the people are not upset?,292971,other,five,"['they are smiling', 'they are smiling', 'they are smiling', 'they are smiling', 'smiles', 'smiles', 'smiles', 'smiles', 'smiling', 'smiling']",smiling,0.0
45,1902045,How fast is the vehicle pictured capable of reaching?,190204,other,one,"['80 mph', '80 mph', '80 mph', '80 mph', '100 mph', '100 mph', '100 mph', '100 mph', '10mph', '10mph']",50 mph,0.0
46,3774865,Name the type of hat the man is wearing?,377486,other,four,"['cowboy', 'cowboy', 'cowboy', 'cowboy', 'sombrero', 'sombrero', 'sombrero', 'sombrero', 'stetson', 'stetson']",sombrero,100.0
47,1282805,What sates are these grown in?,128280,other,five,"['florida california', 'florida california', 'florida california', 'florida california', 'california', 'california', 'california', 'california', 'florida', 'florida']",florida,60.0
48,1318415,How does the bread taste?,131841,other,five,"['good', 'good', 'good', 'good', 'like bread', 'like bread', 'sweet', 'sweet', 'delicious', 'delicious']",good,100.0
49,1305165,What is this type of mack truck used for?,130516,other,one,"['cement', 'cement', 'cement', 'cement', 'cement', 'cement', 'cement', 'cement', 'road work', 'road work']",concrete,0.0
50,2845485,What type of platform should this vehicle be on?,284548,other,one,"['tracks', 'tracks', 'tracks', 'tracks', 'tracks', 'tracks', 'railroad', 'railroad', 'rails', 'rails']",track,100.0
51,5069455,What is the term for the effect used in this photo?,506945,other,nine,"['fisheye', 'fisheye', 'fisheye', 'fisheye', 'reflection', 'reflection', 'zoom', 'zoom', 'wide angle', 'wide angle']",fisheye,100.0
52,4247445,What is the small white outdoor house like building called?,424744,other,ten,"['gazebo', 'gazebo', 'gazebo', 'gazebo', 'gazebo', 'gazebo', 'shed', 'shed', 'casida', 'casida']",gazebo,100.0
53,5681485,What can the woman do with this toy?,568148,other,other,"['throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw', 'throw']",play,0.0
54,857725,Is this boy a professional player or still in high school?,85772,other,four,"['high school', 'high school', 'high school', 'high school', 'high school', 'high school', 'high school', 'high school', 'school', 'school']",high school,100.0
55,1396845,What is the decorative fabric on the floor called?,139684,other,three,"['rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'carpet', 'carpet']",rug,100.0
56,4732085,Is this in a home kitchen or commercial kitchen?,473208,other,five,"['commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial']",commercial,100.0
57,3030245,Which type of helmet is used by the sport person shown in this picture?,303024,other,four,"['batters', 'batters', 'batters', 'batters', 'batting helmet', 'batting helmet', 'batting helmet', 'batting helmet', 'batters helmet', 'batters helmet']",batting helmet,0.0
58,5342525,Which brand of slipper is shown in this picture?,534252,other,eight,"['birkenstock', 'birkenstock', 'birkenstock', 'birkenstock', 'birkenstock', 'birkenstock', 'adidas', 'adidas', 'sandal', 'sandal']",birkenstock,100.0
59,1649245,Who directed the 2012 movie shown on the television in the picture?,164924,other,seven,"['joss whedon', 'joss whedon', 'joss whedon', 'joss whedon', 'joss whedon', 'joss whedon', 'joss wedon', 'joss wedon', 'gunn', 'gunn']",joss whedon,100.0
60,1197855,What time of day is it?,119785,other,five,"['noon', 'noon', 'noon', 'noon', 'afternoon', 'afternoon', 'night', 'night', 'lunch', 'lunch']",evening,0.0
61,511915,Is this bathroom high or low end?,51191,other,seven,"['high', 'high', 'high', 'high', 'high', 'high', 'high end', 'high end', 'high end', 'high end']",high,100.0
62,1943135,Name one famous person whom also has a black and white one of these?,194313,other,eight,"['taylor swift', 'taylor swift', 'taylor swift', 'taylor swift', 'russell brand', 'russell brand', 'hillary clinton', 'hillary clinton', 'ernest hemingway', 'ernest hemingway']",al capone,0.0
63,3325125,Which item in this room is usually to wash hands?,332512,other,seven,"['sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink']",sink,100.0
64,3763585,What are the white objects on this animals head called?,376358,other,eight,"['horns', 'horns', 'horns', 'horns', 'horns', 'horns', 'hornes', 'hornes', 'tusk', 'tusk']",horn,100.0
65,3959785,Which airline has this insignia?,395978,other,one,"['kuwait airways', 'kuwait airways', 'kuwait airways', 'kuwait airways', 'united', 'united', 'delta', 'delta', 'twa', 'twa']",egyptair,0.0
66,2162545,When was the cola brand on the signs founded?,216254,other,two,"['1892', '1892', '1892', '1892', '1851', '1851', ""1870's"", ""1870's"", '1800', '1800']",1886,0.0
67,2913705,What type of hat is this gentleman wearing?,291370,other,other,"['top', 'top', 'top', 'top', 'top hat', 'top hat', 'top hat', 'top hat', 'tophat', 'tophat']",top hat,100.0
68,3304055,What character does this clock look like?,330405,other,three,"['mickey mouse', 'mickey mouse', 'mickey mouse', 'mickey mouse', 'mickey mouse', 'mickey mouse', 'mouse', 'mouse', 'wall e', 'wall e']",mickey mouse,100.0
69,505145,What fruit comes from these trees?,50514,other,six,"['coconut', 'coconut', 'coconut', 'coconut', 'coconut', 'coconut', 'pineapples', 'pineapples', 'banana', 'banana']",banana,60.0
70,5666345,What type of skiing is being done here?,566634,other,four,"['cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'snow skiing', 'snow skiing']",cross country,100.0
71,1569995,What is this animal famously known for?,156999,other,eight,"['long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'neck', 'neck']",long neck,100.0
72,4535205,Are these animals mammals or insects?,453520,other,eight,"['mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'animals', 'animals']",mammals,0.0
73,3282845,If it gets cold enough what will happen to the area being stepped over?,328284,other,ten,"['freeze', 'freeze', 'freeze', 'freeze', 'frozen', 'frozen', 'it will freeze over', 'it will freeze over', 'iced', 'iced']",frozen,60.0
74,2335535,How tall do these animals get?,233553,other,eight,"['20 feet', '20 feet', '20 feet', '20 feet', '8 feey', '8 feey', '10 feet', '10 feet', '12 ft', '12 ft']",20 feet,100.0
75,3589765,What is the breed of this cat?,358976,other,eight,"['american shorthair', 'american shorthair', 'tabby', 'tabby', 'tortoise shell', 'tortoise shell', 'tabbie', 'tabbie', 'calico', 'calico']",tabby,60.0
76,1050405,Is this fruit or veggies?,105040,other,five,"['veggies', 'veggies', 'veggies', 'veggies', 'vegetable', 'vegetable', 'veeggies', 'veeggies', 'veggie', 'veggie']",fruit,0.0
77,5379826,Why so many green vegetables?,537982,other,five,"['healthy', 'healthy', 'healthy', 'healthy', 'make salad', 'make salad', 'lots of vegetables are green', 'lots of vegetables are green', 'salad', 'salad']",yes,0.0
78,2352215,What unpleasant emotional state does this weather phenomenon often cause?,235221,other,ten,"['depression', 'depression', 'depression', 'depression', 'shock', 'shock', 'fright', 'fright', 'fear', 'fear']",fear,60.0
79,4854245,What kind of oven is on the table?,485424,other,five,"['toaster', 'toaster', 'toaster', 'toaster', 'toaster', 'toaster', 'toaster oven', 'toaster oven', 'ge', 'ge']",stove,0.0
80,2864225,How do people use this?,286422,other,one,"['sail', 'sail', 'sail', 'sail', 'sailing', 'sailing', 'sailing', 'sailing', 'to sail', 'to sail']",sail,100.0
81,5192715,What small cloth is used to wipe the face or eating this meal?,519271,other,five,"['napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin']",napkin,100.0
82,1449855,What is this truck moving?,144985,other,one,"['furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'goods', 'goods', 'cargo', 'cargo']",furniture,100.0
83,5605665,Which phase is that moon in?,560566,other,three,"['half', 'half', 'half', 'half', 'half', 'half', 'half moon', 'half moon', 'half moon', 'half moon']",full,0.0
84,3430685,What kind of animal is clearly displayed on the cover of this bed?,343068,other,three,"['deer', 'deer', 'deer', 'deer', 'deer', 'deer', 'elk', 'elk', 'moose', 'moose']",deer,100.0
85,1527025,What is a type of horseback sport?,152702,other,four,"['polo', 'polo', 'polo', 'polo', 'racing', 'racing', 'racing', 'racing', 'riding', 'riding']",polo,100.0
86,1603935,What item might be used to warm this item of furniture?,160393,other,ten,"['electric blanket', 'electric blanket', 'electric blanket', 'electric blanket', 'blanker', 'blanker', 'clothes dryer', 'clothes dryer', 'blanket', 'blanket']",blanket,60.0
87,2597615,What fills the balloons?,259761,other,other,"['helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium']",air,0.0
88,3883985,Would this article of furniture typically be for public or private use?,388398,other,seven,"['public', 'public', 'public', 'public', 'public', 'public', 'public', 'public', 'public', 'public']",public,100.0
89,4071465,How many passengers can this plane accomodate?,407146,other,one,"['15', '15', '15', '15', '10', '10', '18', '18', '8', '8']",10,60.0
90,5525735,What knocked the guy off his chair?,552573,other,four,"['wave', 'wave', 'wave', 'wave', 'wave', 'wave', 'water', 'water', 'water', 'water']",rapids,0.0
91,1000065,What is the purpose of the logos on this truck?,100006,other,one,"['identification', 'identification', 'identification', 'identification', 'advertising', 'advertising', 'advertising', 'advertising', 'sponsorship', 'sponsorship']",advertising,100.0
92,5685555,What is the purpose of these objects?,568555,other,three,"['art', 'art', 'art', 'art', 'memorial', 'memorial', 'decoration', 'decoration', 'graves', 'graves']",art,100.0
93,2873285,What happens here?,287328,other,eight,"['sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'resting', 'resting']",play,0.0
94,5649115,What company is this plane flying for?,564911,other,one,"['oneworld', 'oneworld', 'oneworld', 'oneworld', '1 world', '1 world', '1 world', '1 world', 'not sure', 'not sure']",one world,100.0
95,4471175,Name the type of curtains shown in this picture?,447117,other,three,"['drapes', 'drapes', 'drapes', 'drapes', 'rod pocket curtains', 'rod pocket curtains', 'big', 'big', 'lace', 'lace']",sheer,0.0
96,3294555,What animal does the meat on the pizza come from?,329455,other,five,"['pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig', 'pig']",cow,0.0
97,1365725,How do you turn this on?,136572,other,one,"['key', 'key', 'key', 'key', 'key', 'key', 'ignition', 'ignition', 'with key', 'with key']",start,0.0
98,5775245,How tall is this animal usually?,577524,other,eight,"['20 feet', '20 feet', '20 feet', '20 feet', '12 ft', '12 ft', '15 feet', '15 feet', '13ft', '13ft']",20 feet,100.0
99,2707535,How much tomato sauce is in this dish?,270753,other,five,"['2 cups', '2 cups', '2 cups', '2 cups', 'half cup', 'half cup', '1 4 cup', '1 4 cup', '2 cans', '2 cans']",lot,0.0
100,2231575,What brand of blue jeans is the skateboarder wearing?,223157,other,four,"['levis', 'levis', 'vans', 'vans', 'levi', 'levi', 'american', 'american', 'wrangler', 'wrangler']",levis,60.0
101,3087645,Is this bird diurnal or nocturnal?,308764,other,eight,"['nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal', 'nocturnal']",nocturnal,100.0
102,2940305,What is the white cloud behind the jet called?,294030,other,one,"['contrail', 'contrail', 'contrail', 'contrail', 'cloud', 'cloud', 'contrails', 'contrails', 'supersonic wave', 'supersonic wave']",contrail,100.0
103,2741565,How heavy is this object?,274156,other,three,"['100 lbs', '100 lbs', '100 lbs', '100 lbs', 'very heavy', 'very heavy', '20 pounds', '20 pounds', '500 lbs', '500 lbs']",heavy,0.0
104,5522215,What restaraunt is this at?,552221,other,five,"['pizzaria', 'pizzaria', 'pizzaria', 'pizzaria', 'pizzeria', 'pizzeria', 'pizza place', 'pizza place', 'italian', 'italian']",pizza,0.0
105,4684875,What breed of dog is this?,468487,other,eight,"['chihuahua', 'chihuahua', 'chihuahua', 'chihuahua', 'mutt', 'mutt', 'hound', 'hound', 'pharoah', 'pharoah']",terrier,0.0
106,5156125,What musical instrument is this man playing?,515612,other,seven,"['piano', 'piano', 'piano', 'piano', 'piano', 'piano', 'keyboard piano', 'keyboard piano', 'keyboard', 'keyboard']",keyboard,60.0
107,2085245,Does this type of train transport people or cargo?,208524,other,one,"['cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo', 'cargo']",cargo,100.0
108,1970975,What kind of dog is this?,197097,other,eight,"['lab', 'lab', 'lab', 'lab', 'dachsund', 'dachsund', 'cockerspaniel', 'cockerspaniel', 'retriever', 'retriever']",dachshund,0.0
109,2365425,What is the name of this dish?,236542,other,five,"['pancakes', 'pancakes', 'pancakes', 'pancakes', 'pancakes', 'pancakes', 'pancakes', 'pancakes', 'pancakes', 'pancakes']",pancakes,0.0
110,1041195,On what holiday do people traditionally eat this bird?,104119,other,eight,"['thanksgiving', 'thanksgiving', 'thanksgiving', 'thanksgiving', 'thanksgiving', 'thanksgiving', 'thanksgiving', 'thanksgiving', 'thanksgiving', 'thanksgiving']",thanksgiving,100.0
111,2264595,What do these animals generally eat?,226459,other,eight,"['mice', 'mice', 'mice', 'mice', 'insects', 'insects', 'eat leaves', 'eat leaves', 'bugs', 'bugs']",worm,0.0
112,2749575,What could a person use this for?,274957,other,other,"['directions', 'directions', 'directions', 'directions', 'identifying their location', 'identifying their location', 'to tell directions', 'to tell directions', 'direction', 'direction']",direction,60.0
113,1341195,What is a group of these animals called?,134119,other,eight,"['herd', 'herd', 'herd', 'herd', 'herd', 'herd', 'tower', 'tower', 'tower', 'tower']",giraffes,0.0
114,1708525,What toe related phrase is most commonly associated with this sport?,170852,other,four,"['hang 10', 'hang 10', 'hang 10', 'hang 10', 'shoot curl', 'shoot curl', 'toe drag', 'toe drag', 'web foot', 'web foot']",toe hang,0.0
115,1667045,What is the type of blade being used in this photo?,166704,other,other,"['serrated', 'serrated', 'serrated', 'serrated', 'bread blade', 'bread blade', 'microplane', 'microplane', 'carving knife', 'carving knife']",serrated,100.0
116,4100045,Where are fruits like this best found?,410004,other,five,"['south america', 'south america', 'south america', 'south america', 'tropics', 'tropics', 'jungle', 'jungle', 'south', 'south']",market,0.0
117,639735,How long does this animal usually live?,63973,other,eight,"['10 years', '10 years', '10 years', '10 years', '10 years', '10 years', '20 years', '20 years', '20 years', '20 years']",10 years,100.0
118,979885,People that pledge to give per mile monies for those participating in these types of events are called what?,97988,other,other,"['sponsors', 'sponsors', 'sponsors', 'sponsors', 'volunteer', 'volunteer', 'donators', 'donators', 'charity miles', 'charity miles']",runner,0.0
119,4959965,What retractable appendage could this animal use to destroy the chair?,495996,other,eight,"['claws', 'claws', 'claws', 'claws', 'claw', 'claw', 'claw', 'claw', 'box cutter', 'box cutter']",claw,100.0
120,2980515,What event is this?,298051,other,six,"['concert', 'concert', 'concert', 'concert', 'concert', 'concert', 'concert', 'concert', 'british heart foundation', 'british heart foundation']",concert,100.0
121,2921885,What other item is this company famous for manufacturing?,292188,other,one,"['tractors', 'tractors', 'tractors', 'tractors', 'tractors', 'tractors', 'trucks', 'trucks', 'vehicles', 'vehicles']",camera,0.0
122,5735275,What is the arrow indicating?,573527,other,other,"['1 way', '1 way', '1 way', '1 way', 'oneway', 'oneway', 'turn left', 'turn left', 'direction', 'direction']",one way,100.0
123,5461715,Why would animals do this?,546171,other,eight,"['mating', 'mating', 'procreate', 'procreate', 'reproduce', 'reproduce', 'play', 'play', 'mate', 'mate']",play,60.0
124,3989925,What area of a school might this be?,398992,other,three,"['library', 'library', 'library', 'library', 'library', 'library', 'library', 'library', 'library', 'library']",library,100.0
125,3159865,For how long should the man in this picture continue to brush his teeth?,315986,other,seven,"['5 minutes', '5 minutes', '5 minutes', '5 minutes', '2 minutes', '2 minutes', '30 seconds', '30 seconds', 'years', 'years']",2 minutes,60.0
126,418675,What kind of bird is this?,41867,other,eight,"['myna', 'myna', 'myna', 'myna', 'cardinal', 'cardinal', 'yellowcheek', 'yellowcheek', 'brown', 'brown']",robin,0.0
127,1708495,How would you dress for this setting?,170849,other,other,"['shorts', 'shorts', 'shorts', 'shorts', 'bathing suit', 'bathing suit', 'bikini', 'bikini', 'summer', 'summer']",shorts,0.0
128,1803295,What new company has created competition for this type of transportation?,180329,other,one,"['uber', 'uber', 'uber', 'uber', 'uber', 'uber', 'uber', 'uber', 'uber', 'uber']",uber,100.0
129,5341945,What weather phenomenon most likely happened?,534194,other,ten,"['flood', 'flood', 'flood', 'flood', 'hurricane', 'hurricane', 'hurricane', 'hurricane', 'rain', 'rain']",flood,100.0
130,195795,How many calories is in a food like this?,19579,other,five,"['400', '400', '400', '400', '800', '800', '600', '600', '450', '450']",300,0.0
131,2769645,What single verb can be used to describe the action in this photo?,276964,other,three,"['flush', 'flush', 'flush', 'flush', 'flush', 'flush', 'flushing', 'flushing', 'flushing', 'flushing']",flush,100.0
132,5407405,What kind of park is this picture taken in?,540740,other,seven,"['skatepark', 'skatepark', 'skatepark', 'skatepark', 'skate park', 'skate park', 'skate park', 'skate park', 'skate', 'skate']",skate park,100.0
133,243965,Who is the motorcycle manufacture?,24396,other,one,"['kawasaki', 'kawasaki', 'kawasaki', 'kawasaki', 'harley', 'harley', 'triumph', 'triumph', 'trump', 'trump']",triumph,60.0
134,5132835,What kind of shakers are on the table?,513283,other,five,"['salt and pepper', 'salt and pepper', 'salt and pepper', 'salt and pepper', 'salt and pepper', 'salt and pepper', 'salt and pepper', 'salt and pepper', 'seasoning', 'seasoning']",salt,0.0
135,2993555,What low calorie way of cooking the green vegetables involves heating them over hot water?,299355,other,five,"['steaming', 'steaming', 'steaming', 'steaming', 'steaming', 'steaming', 'steaming', 'steaming', 'boilin', 'boilin']",steaming,0.0
136,3848225,What kind of serving utensil is used to serve this pizza?,384822,other,five,"['spatula', 'spatula', 'spatula', 'spatula', 'spatula', 'spatula', 'tray', 'tray', 'pan', 'pan']",spatula,100.0
137,5683585,What type of process is occurring here?,568358,other,five,"['making donuts', 'making donuts', 'making donuts', 'making donuts', 'frying', 'frying', 'donut frying', 'donut frying', 'doughnut making', 'doughnut making']",frying,0.0
138,357265,What waterway is this boat on?,35726,other,one,"['canal', 'canal', 'canal', 'canal', 'canal', 'canal', 'venice', 'venice', 'river', 'river']",river,60.0
139,2293835,Is this illegal or legal?,229383,other,other,"['legal', 'legal', 'legal', 'legal', 'legal', 'legal', 'legal', 'legal', 'legal', 'legal']",legal,100.0
140,2542775,Where can i buy flowers like these?,254277,other,eight,"['florist', 'florist', 'florist', 'florist', 'flower shop', 'flower shop', 'store', 'store', 'kroger', 'kroger']",florist,100.0
141,3404725,What do you call the device that keeps boats in place at sea?,340472,other,one,"['anchor', 'anchor', 'anchor', 'anchor', 'anchor', 'anchor', 'anchor', 'anchor', 'locator', 'locator']",anchor,100.0
142,1008115,What kind of bird are they?,100811,other,eight,"['seagulls', 'seagulls', 'seagulls', 'seagulls', 'seagull', 'seagull', 'pelicans', 'pelicans', 'seagul', 'seagul']",seagull,100.0
143,3591265,This man is speaking into a?,359126,other,other,"['microphone', 'microphone', 'microphone', 'microphone', 'microphone', 'microphone', 'room full of democrats', 'room full of democrats', 'g20summit', 'g20summit']",microphone,100.0
144,3064155,What type of clothing are the men wearing?,306415,other,three,"['suits', 'suits', 'suits', 'suits', 'suits', 'suits', 'suits', 'suits', 'suits and ties', 'suits and ties']",suits,0.0
145,584726,What kind of glass is used to make that shower enclosure?,58472,other,three,"['tempered', 'tempered', 'tempered', 'tempered', 'tempered', 'tempered', 'clear', 'clear', 'paned', 'paned']",clear,60.0
146,4258485,What is brown on the plate?,425848,other,five,"['steak', 'steak', 'steak', 'steak', 'meat', 'meat', 'meat', 'meat', 'potatoes', 'potatoes']",meat,100.0
