dataset,question,answer,index,image,origin_dataset,class
Open_VQA_images,Is this a home office?,['yes'],103,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000189842.jpg,vqav2,Place
Open_VQA_images,What color is the tall vase sitting on the floor?,['brown'],135,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000217562.jpg,vqav2,Color
Open_VQA_images,"Are the water, sand and sky so calm they look like stripes in this scene?",['yes'],167,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000261744.jpg,vqav2,Spatial
Open_VQA_images,What is the boy wearing on his back?,['backpack'],199,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000350897.jpg,vqav2,Others
Open_VQA_images,How many types of food are there on the plate?,['3'],231,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000184951.jpg,vqav2,Counting
Open_VQA_images,What is the title of this book?,['compact bible dictionary'],263,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51lmqKMbjML.jpg,ocrvqa,OCR
Open_VQA_images,Is this book related to Law?,['no'],295,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/61xsazUVLfL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['baseball field'],8,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00017072.jpg,places365,Place
Open_VQA_images,What is the man riding on?,['skateboard'],40,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000428111.jpg,vqav2,Others
Open_VQA_images,Is the man taking a photo of the food on the table?,['no'],72,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000450355.jpg,vqav2,Others
Open_VQA_images,What color is the water?,['blue or green'],104,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000531495.jpg,vqav2,Color
Open_VQA_images,What is the child in the photo about to do?,['throw baseball'],136,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000073093.jpg,vqav2,Action
Open_VQA_images,What number of vases are sitting in the window sill?,['4'],168,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000045383.jpg,vqav2,Counting
Open_VQA_images,How many men are wearing hats?,['nobody'],200,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000179584.jpg,vqav2,Counting
Open_VQA_images,How many books are on the bed?,['2'],232,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000577995.jpg,vqav2,Counting
Open_VQA_images,Is this a judicial book?,['no'],264,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/413HtpFyXAL.jpg,ocrvqa,OCR
Open_VQA_images,Is this book related to Science & Math?,['no'],296,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51eDPujrQqL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['swimming pool or water park'],9,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00011014.jpg,places365,Place
Open_VQA_images,What are the black objects arranged on the roadside?,['meter'],41,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000182895.jpg,vqav2,Others
Open_VQA_images,What are the yellow characters on the bus?,['magic bus'],73,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000237254.jpg,vqav2,Others
Open_VQA_images,What color is the truck?,['green and grey'],105,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000094202.jpg,vqav2,Color
Open_VQA_images,What is the woman doing that is considered by many as unhealthy?,['smoking'],137,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000355197.jpg,vqav2,Reasoning
Open_VQA_images,How many forks are in this picture?,['1'],169,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000467726.jpg,vqav2,Counting
Open_VQA_images,Do the names of the cross streets reflect the natural scenery?,['yes'],201,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000543215.jpg,vqav2,OCR
Open_VQA_images,Is Santa in the sleigh?,['no'],233,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000433652.jpg,vqav2,Others
Open_VQA_images,Is this a journey related book?,['yes'],265,images/ocrvqa/image_1w/51rLTCtk7RL.jpg,ocrvqa,OCR
Open_VQA_images,Is this book related to Engineering & Transportation?,['no'],297,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51rJPwbGbJL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['supermarket'],10,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00016304.jpg,places365,Place
Open_VQA_images,What are the items along the right hand side of the photo?,['motorcycles'],42,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000535519.jpg,vqav2,Others
Open_VQA_images,Are the animals the same color?,['yes'],74,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000061564.jpg,vqav2,Color
Open_VQA_images,How many bikes have helmets?,['0'],106,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000342515.jpg,vqav2,Counting
Open_VQA_images,Is the man going to fall if he maintains the current position?,['no'],138,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000068166.jpg,vqav2,Reasoning
Open_VQA_images,Are the men in the dark suits arresting the soldiers?,['no'],170,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000491064.jpg,vqav2,Reasoning
Open_VQA_images,Is the cat wearing a bow tie?,['yes'],202,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000271907.jpg,vqav2,Others
Open_VQA_images,What is the man trying to put inside his jacket?,['bottle'],234,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000521906.jpg,vqav2,Others
Open_VQA_images,Who is the author of this book?,['richmond p. hobson jr'],266,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51JJtrbFa2L.jpg,ocrvqa,OCR
Open_VQA_images,Who wrote this book?,['don c. seitz'],298,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51ENqF9EstL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['lock chamber or pool or pond'],11,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00029405.jpg,places365,Place
Open_VQA_images,What kind of animal is implied by the stylized design on the plane's tail?,['bird'],43,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000370325.jpg,vqav2,Reasoning
Open_VQA_images,What kind of ball is she holding?,['tennis'],75,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000054796.jpg,vqav2,Others
Open_VQA_images,How many vehicles are in the picture?,['2'],107,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000240589.jpg,vqav2,Counting
Open_VQA_images,"Which clock is facing toward the sun, left or right?",['left'],139,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000133051.jpg,vqav2,Spatial
Open_VQA_images,Who is the Queen of the Country in which this was probably taken?,['elizabeth'],171,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000487692.jpg,vqav2,Reasoning
Open_VQA_images,What food is that?,['donuts'],203,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000005754.jpg,vqav2,Others
Open_VQA_images,What kind of truck is pictured?,['dump'],235,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000349794.jpg,vqav2,Others
Open_VQA_images,Who is the author of this book?,['joseph campbell'],267,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51Ch1WaWsKL.jpg,ocrvqa,OCR
Open_VQA_images,Which city is this book about?,['Hong Kong'],299,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51dIJghzlUL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['shower or bathroom'],12,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00001166.jpg,places365,Place
Open_VQA_images,Is the toilet seat down?,['no'],44,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000191705.jpg,vqav2,Others
Open_VQA_images,What color wheels are on the object this person is riding?,['green'],76,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000229553.jpg,vqav2,Color
Open_VQA_images,Is the person going uphill or downhill?,['uphill'],108,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000288442.jpg,vqav2,Action
Open_VQA_images,What do people do from the top of ski slope?,['ski'],140,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000487861.jpg,vqav2,Action
Open_VQA_images,How many blocks does not have a  bird on it?,['1'],172,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000176527.jpg,vqav2,Counting
Open_VQA_images,What color is this bus?,['white'],204,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000138040.jpg,vqav2,Color
Open_VQA_images,Is the couch white?,['yes'],236,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000509824.jpg,vqav2,Color
Open_VQA_images,Is this book related to Travel?,['yes'],268,images/ocrvqa/image_1w/51PS3GY96CL.jpg,ocrvqa,OCR
Open_VQA_images,What is the title of this book?,['minneapolis to mobile: via the mississippi and tennessee'],300,images/ocrvqa/image_1w/51NTHWXAMCL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['restaurant'],13,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00021330.jpg,places365,Place
Open_VQA_images,What is being photographed in the picture?,['wine bottle'],45,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000093089.jpg,vqav2,Others
Open_VQA_images,What is the clock made of?,['metal'],77,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000514402.jpg,vqav2,Others
Open_VQA_images,Is the person on the left playing a video game?,['yes'],109,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000346185.jpg,vqav2,Others
Open_VQA_images,What food is on top of the wrapper?,['pizza'],141,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000212766.jpg,vqav2,Others
Open_VQA_images,Is the bear eating?,['no'],173,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000559006.jpg,vqav2,Action
Open_VQA_images,What is sitting on the desk next to the bookshelf?,['computer'],205,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000539439.jpg,vqav2,Spatial
Open_VQA_images,Is the train going around the bend?,['yes'],237,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000326863.jpg,vqav2,Action
Open_VQA_images,Is this book related to Cookbooks or food or wine?,['yes'],269,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/41Y6f0ZCe7L.jpg,ocrvqa,OCR
Open_VQA_images,Is this a crafts or hobbies related book?,['yes'],301,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51U6fIwjHQL.jpg,ocrvqa,OCR
Open_VQA_images,What is in the image?,['amusement arcade'],14,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/places365/val_256/Places365_val_00008331.jpg,places365,Place
Open_VQA_images,Where is the American flag?,['bus window'],46,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000338625.jpg,vqav2,Others
Open_VQA_images,What color is this mans wetsuit?,['black'],78,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000357659.jpg,vqav2,Color
Open_VQA_images,How many bells?,['3'],110,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000577821.jpg,vqav2,Counting
Open_VQA_images,What is the green item?,['broccoli'],142,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000321395.jpg,vqav2,Others
Open_VQA_images,What are the two kids sitting on?,['bench'],174,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000207548.jpg,vqav2,Others
Open_VQA_images,Does the man look convinced that he will make the jump?,['yes'],206,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000349860.jpg,vqav2,Reasoning
Open_VQA_images,Is it an overcast day?,['no'],238,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000040681.jpg,vqav2,Reasoning
Open_VQA_images,Who is the author of this book?,['george macdonald'],270,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/41p7ry7cmRL.jpg,ocrvqa,OCR
Open_VQA_images,Is this book related to Arts & Photography?,['yes'],302,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51dPhn51lYL.jpg,ocrvqa,OCR
Open_VQA_images,What is he holding in his hands?,['leash'],15,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000154053.jpg,vqav2,Others
Open_VQA_images,How many people are in the water?,['0'],47,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000387388.jpg,vqav2,Counting
Open_VQA_images,What animal is in the picture?,['cow'],79,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000199516.jpg,vqav2,Others
Open_VQA_images,Was that picture taken a long time ago?,['yes'],111,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000443689.jpg,vqav2,Reasoning
Open_VQA_images,How many boats do you see in this picture?,['2'],143,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000421757.jpg,vqav2,Counting
Open_VQA_images,Does the man look like he's in pain?,['no'],175,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000228135.jpg,vqav2,Reasoning
Open_VQA_images,What is the lamp sitting on?,['shelf'],207,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000443797.jpg,vqav2,Spatial
Open_VQA_images,What kind of the animal?,['dog'],239,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000089880.jpg,vqav2,Others
Open_VQA_images,What is the title of this book?,['photovoltaic systems'],271,/mnt/pfs-guan-ssai/nlu/wanghanzi/data/OCRVQA/openvqa_part_images/images/51FZTN7NR2L.jpg,ocrvqa,OCR
Open_VQA_images,Do the waves look intense?,['yes'],16,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000340658.jpg,vqav2,Reasoning
Open_VQA_images,Is the bear alive?,['yes'],48,/mnt/pfs-guan-ssai/nlu/dingyifeng/data/COCO/val2014/COCO_val2014_000000523529.jpg,vqav2,Others
