,"cluster_[0, 0, 1, 2, 0, 2]_words","cluster_[0, 0, 1, 2, 0, 2]_freqs","cluster_[0, 0, 1, 2, 2, 2]_words","cluster_[0, 0, 1, 2, 2, 2]_freqs","cluster_[0, 0, 2, 2, 0, 1]_words","cluster_[0, 0, 2, 2, 0, 1]_freqs","cluster_[0, 0, 2, 2, 0, 2]_words","cluster_[0, 0, 2, 2, 0, 2]_freqs","cluster_[0, 0, 2, 2, 2, 1]_words","cluster_[0, 0, 2, 2, 2, 1]_freqs","cluster_[0, 0, 2, 2, 2, 2]_words","cluster_[0, 0, 2, 2, 2, 2]_freqs","cluster_[0, 2, 1, 2, 0, 1]_words","cluster_[0, 2, 1, 2, 0, 1]_freqs","cluster_[0, 2, 1, 2, 0, 2]_words","cluster_[0, 2, 1, 2, 0, 2]_freqs","cluster_[0, 2, 1, 2, 2, 1]_words","cluster_[0, 2, 1, 2, 2, 1]_freqs","cluster_[0, 2, 1, 2, 2, 2]_words","cluster_[0, 2, 1, 2, 2, 2]_freqs","cluster_[0, 2, 2, 2, 0, 1]_words","cluster_[0, 2, 2, 2, 0, 1]_freqs","cluster_[0, 2, 2, 2, 0, 2]_words","cluster_[0, 2, 2, 2, 0, 2]_freqs","cluster_[0, 2, 2, 2, 2, 1]_words","cluster_[0, 2, 2, 2, 2, 1]_freqs","cluster_[0, 2, 2, 2, 2, 2]_words","cluster_[0, 2, 2, 2, 2, 2]_freqs","cluster_[2, 0, 1, 2, 2, 2]_words","cluster_[2, 0, 1, 2, 2, 2]_freqs","cluster_[2, 0, 2, 2, 0, 2]_words","cluster_[2, 0, 2, 2, 0, 2]_freqs","cluster_[2, 0, 2, 2, 2, 1]_words","cluster_[2, 0, 2, 2, 2, 1]_freqs","cluster_[2, 0, 2, 2, 2, 2]_words","cluster_[2, 0, 2, 2, 2, 2]_freqs","cluster_[2, 2, 1, 2, 2, 1]_words","cluster_[2, 2, 1, 2, 2, 1]_freqs","cluster_[2, 2, 1, 2, 2, 2]_words","cluster_[2, 2, 1, 2, 2, 2]_freqs","cluster_[2, 2, 2, 2, 2, 1]_words","cluster_[2, 2, 2, 2, 2, 1]_freqs"
10,computer,232,front,139,eating,120,sport,174,standing,242,why,245,sitting,216,dog,513,wearing,327,holding,338,boy,156,where,329,sunny,308,who,283,shown,95,bus,450,street,144,time,540,colors,147,shirt,154,windows,120
11,type,230,desk,123,zebra,106,animal,171,zebras,237,background,228,bear,212,where,507,where,327,plate,330,standing,155,riding,327,standing,295,why,263,holiday,90,written,351,city,143,name,525,meal,138,colors,153,snow,103
12,color,208,glass,120,wearing,97,sky,171,elephant,218,type,227,person,211,room,466,person,301,which,314,dog,153,girl,322,grass,294,type,225,restaurant,90,plane,324,buildings,137,type,521,white,129,flowers,143,boat,102
13,shirt,173,shirt,117,which,96,people,166,taken,216,playing,223,eating,203,animal,433,woman,299,person,293,plane,148,kind,283,elephant,252,holding,223,food,79,man,273,day,133,which,485,vegetables,129,wall,140,planes,98
14,who,166,woman,116,water,92,which,160,trees,213,bus,218,seat,197,sitting,409,sandwich,267,made,258,sky,136,which,256,boat,250,which,213,drink,77,company,244,visible,130,signs,478,bowl,129,cake,135,white,96
15,looking,165,who,113,people,89,behind,148,man,192,taken,216,hair,196,type,403,kind,264,pizza,237,surfer,136,who,236,look,239,light,202,time,77,side,217,water,127,was,468,shape,123,right,133,cars,93
16,tv,158,computer,113,moving,84,boy,142,sitting,189,game,216,bathroom,185,girl,403,cake,262,people,217,sitting,128,dog,227,going,231,men,165,side,76,letters,217,trains,127,left,392,shown,121,which,126,blue,90
17,behind,156,which,110,kind,77,dog,142,bus,183,standing,211,animals,180,which,355,dog,244,shirt,215,helmet,120,people,223,day,228,vehicle,162,man,74,who,212,where,123,right,367,green,116,vase,111,shown,89
18,top,153,why,106,bear,72,holding,140,grass,179,vehicle,189,see,173,phone,352,would,243,girl,213,going,120,right,211,sitting,224,riding,161,flowers,72,team,193,scene,122,city,361,which,114,white,99,day,87
19,person,152,flowers,102,facing,69,type,137,was,167,woman,179,fruit,172,boy,351,healthy,235,cake,212,elephant,110,type,208,animal,219,boy,152,computer,72,front,191,time,117,background,341,sandwich,109,man,98,look,81
20,woman,150,behind,97,horse,67,looking,134,bench,166,car,179,look,169,bed,338,look,234,why,205,moving,109,standing,196,men,212,ground,146,brand,70,street,173,buses,102,stop,313,different,108,shown,93,here,81
21,laptop,144,taken,97,tree,62,shirt,132,background,165,was,177,baby,168,top,327,animals,229,hand,197,look,108,ball,193,see,207,game,144,where,68,wearing,172,vehicles,92,train,299,dish,104,top,90,cloudy,80
22,window,140,bear,96,tall,61,sitting,128,see,163,going,177,open,161,right,293,type,224,flowers,191,tennis,105,player,184,why,204,right,138,was,66,where,172,seen,91,country,299,hot,98,green,83,made,76
23,bird,128,window,93,dog,60,left,123,cars,153,left,174,girl,161,made,272,glasses,220,right,187,ground,105,left,169,where,203,standing,134,window,64,word,170,shown,88,vehicle,290,look,96,sandwich,79,vehicles,76
24,which,126,sitting,89,person,59,right,120,why,152,train,167,horse,159,shirt,269,bananas,218,floor,184,riding,104,kite,169,zebras,195,left,130,cup,61,player,169,look,87,shown,283,red,95,vegetable,76,black,75
25,mirror,119,bears,87,wild,59,player,120,going,145,men,161,eyes,152,device,266,see,217,shown,184,wave,96,flying,149,raining,192,traffic,129,bottle,59,which,167,fence,84,truck,277,see,92,design,76,type,75
26,hanging,116,was,87,plane,59,car,118,walking,140,fence,158,food,148,object,238,vegetables,214,top,181,see,95,animal,140,plane,191,ball,124,glass,59,type,163,road,83,day,276,meat,89,umbrella,75,buses,72
27,bed,114,background,87,baby,58,standing,114,wearing,139,street,150,sink,147,bear,222,flowers,213,sitting,165,air,95,tennis,137,elephants,186,truck,106,top,58,top,161,area,83,white,275,right,88,shape,74,clouds,72
28,holding,112,left,84,trees,54,train,110,here,136,right,147,kind,144,pizza,222,water,199,object,156,bird,94,skateboard,135,moving,181,hand,106,books,58,kind,155,boats,81,who,274,umbrellas,83,red,73,visible,72
29,right,111,vase,84,camera,54,played,110,road,133,parked,145,cats,144,left,218,green,197,utensil,150,where,90,head,133,woman,180,sky,101,name,58,numbers,149,snow,78,side,264,vegetable,82,black,71,seen,71
30,left,105,animal,79,elephants,53,water,94,zebra,133,sitting,143,giraffe,142,child,209,hot,193,left,144,looking,88,carrying,132,truck,169,animal,100,taken,58,left,145,windows,76,behind,264,top,78,floor,71,umbrellas,71
31,girl,104,beverage,76,one,53,tennis,93,wild,130,time,127,where,141,baby,195,sitting,192,green,131,wheels,88,game,130,horses,168,red,96,fruit,57,shown,145,white,74,red,256,bananas,78,flower,63,kind,69
32,playing,101,right,75,see,51,time,90,behind,129,truck,125,cows,135,playing,181,fruit,190,glass,127,fall,85,child,129,riding,166,batter,94,screens,57,letter,143,right,70,made,241,left,77,wearing,63,fence,66
33,boy,98,hat,73,cow,50,ball,89,fence,128,day,122,happy,130,laptop,179,dish,188,tie,124,flying,80,guy,123,train,158,bike,94,hanging,54,white,142,vehicle,69,language,241,chairs,77,dish,62,truck,65
34,table,93,next,69,going,50,horse,88,parked,127,animal,120,sleeping,129,table,177,made,182,who,121,giraffe,79,hands,123,shown,155,made,87,desk,53,red,142,beach,69,people,231,bread,73,cup,59,scene,65
35,next,89,outside,69,who,49,hat,85,looking,124,ground,115,child,127,floor,164,girl,172,eating,119,train,78,sitting,122,ball,150,player,87,monitors,52,truck,139,busy,69,trees,229,healthy,72,called,58,red,59
36,screen,86,computers,68,front,47,top,85,tracks,123,trees,111,birds,122,laying,159,sheep,162,used,116,skateboard,77,air,115,walking,150,weather,86,see,51,wall,139,night,69,car,221,fruits,71,tablecloth,57,weather,56
37,shoes,83,tie,66,sitting,47,girl,83,ground,118,next,111,shoes,121,using,157,full,160,white,112,surfboard,77,activity,109,here,149,grass,85,pattern,49,read,135,old,68,clock,218,sauce,71,material,56,old,54
38,wall,80,laptop,65,direction,46,head,82,shown,116,bench,108,clean,120,who,157,bowl,156,light,112,holding,76,bike,103,clouds,148,hydrant,83,vase,48,right,133,here,66,front,217,cup,70,side,56,beach,54
39,lamp,77,shown,63,open,43,riding,81,raining,115,light,106,type,116,white,156,dogs,154,dog,112,high,75,horse,103,road,143,sitting,83,would,47,car,123,tracks,66,traffic,212,train,68,shorts,54,wearing,54
40,teddy,77,top,62,zebras,42,bike,77,day,114,water,105,closed,110,paper,150,slices,153,hair,110,animals,74,looking,99,cloudy,139,white,80,cake,47,airline,117,bridge,65,road,212,animals,67,blue,53,birds,53
41,head,77,inside,62,grass,41,shoes,76,tree,113,scene,102,standing,110,mouse,149,shown,150,desk,109,girl,74,racket,98,visible,138,girl,80,here,47,phone,115,color,63,shirt,199,cake,62,container,51,right,50
42,game,74,dog,60,old,41,color,70,scene,113,looking,98,ball,110,computer,147,one,150,red,107,zebra,73,played,98,bike,131,frisbee,79,store,47,logo,115,plane,63,light,195,orange,59,bowl,51,deep,50
43,phone,73,time,56,shown,41,vehicle,69,facing,111,riding,97,lid,110,bird,145,hair,145,sandwich,105,guy,73,board,97,clear,129,like,77,building,46,building,113,zoo,63,store,192,pizza,59,jacket,50,cold,49
44,standing,72,bottle,54,look,40,truck,69,street,107,bike,96,water,108,sink,143,vegetable,142,item,104,surfing,69,motorcycle,97,snow,127,street,73,red,45,person,108,tall,62,wall,192,flowers,59,bread,47,material,46
45,chair,71,plant,54,left,40,going,69,car,106,building,91,looking,106,used,139,meat,142,scissors,98,waves,67,water,93,zebra,127,shown,71,person,44,plate,108,station,60,man,191,dog,58,person,47,vehicle,45
46,shown,69,made,52,adult,39,air,68,look,105,shown,91,shower,106,head,139,eaten,142,next,96,player,66,why,93,like,126,blue,70,who,42,batter,106,mountains,58,here,188,water,58,chair,45,street,45
47,child,64,drinking,52,zoo,39,flying,66,outside,104,side,90,cow,104,black,129,fork,140,vase,95,who,65,back,92,running,122,road,69,background,42,tennis,105,car,57,top,185,material,57,yellow,45,colors,44
48,desk,63,girl,51,car,38,brand,62,plane,100,road,89,room,102,shown,128,glass,139,called,95,board,64,bat,91,one,119,bench,67,pictures,42,back,105,left,57,written,181,sheep,56,box,45,bench,43
49,television,62,chair,49,type,36,direction,59,kind,97,weather,86,plate,100,looking,127,someone,136,cup,95,court,64,hydrant,89,sheep,117,lights,67,behind,41,flag,101,lot,55,way,170,used,55,dessert,44,sunny,43
