,"cluster_[0, 0, 0, 0, 1, 0]_words","cluster_[0, 0, 0, 0, 1, 0]_freqs","cluster_[0, 0, 0, 0, 1, 1]_words","cluster_[0, 0, 0, 0, 1, 1]_freqs","cluster_[0, 0, 0, 0, 2, 0]_words","cluster_[0, 0, 0, 0, 2, 0]_freqs","cluster_[0, 0, 0, 0, 2, 1]_words","cluster_[0, 0, 0, 0, 2, 1]_freqs","cluster_[0, 2, 0, 0, 1, 0]_words","cluster_[0, 2, 0, 0, 1, 0]_freqs","cluster_[0, 2, 0, 0, 1, 1]_words","cluster_[0, 2, 0, 0, 1, 1]_freqs","cluster_[0, 2, 0, 0, 1, 2]_words","cluster_[0, 2, 0, 0, 1, 2]_freqs","cluster_[0, 2, 0, 0, 2, 0]_words","cluster_[0, 2, 0, 0, 2, 0]_freqs","cluster_[0, 2, 0, 0, 2, 1]_words","cluster_[0, 2, 0, 0, 2, 1]_freqs","cluster_[0, 2, 0, 0, 2, 2]_words","cluster_[0, 2, 0, 0, 2, 2]_freqs","cluster_[1, 1, 0, 0, 2, 0]_words","cluster_[1, 1, 0, 0, 2, 0]_freqs","cluster_[1, 1, 0, 0, 2, 2]_words","cluster_[1, 1, 0, 0, 2, 2]_freqs","cluster_[1, 1, 2, 0, 1, 0]_words","cluster_[1, 1, 2, 0, 1, 0]_freqs","cluster_[1, 1, 2, 0, 1, 2]_words","cluster_[1, 1, 2, 0, 1, 2]_freqs","cluster_[1, 1, 2, 0, 2, 0]_words","cluster_[1, 1, 2, 0, 2, 0]_freqs","cluster_[1, 1, 2, 0, 2, 2]_words","cluster_[1, 1, 2, 0, 2, 2]_freqs","cluster_[1, 2, 0, 0, 1, 0]_words","cluster_[1, 2, 0, 0, 1, 0]_freqs","cluster_[1, 2, 0, 0, 1, 2]_words","cluster_[1, 2, 0, 0, 1, 2]_freqs","cluster_[1, 2, 0, 0, 2, 0]_words","cluster_[1, 2, 0, 0, 2, 0]_freqs","cluster_[1, 2, 0, 0, 2, 2]_words","cluster_[1, 2, 0, 0, 2, 2]_freqs","cluster_[1, 2, 1, 0, 2, 2]_words","cluster_[1, 2, 1, 0, 2, 2]_freqs","cluster_[2, 1, 0, 0, 1, 0]_words","cluster_[2, 1, 0, 0, 1, 0]_freqs","cluster_[2, 1, 0, 0, 2, 0]_words","cluster_[2, 1, 0, 0, 2, 0]_freqs","cluster_[2, 1, 2, 0, 1, 0]_words","cluster_[2, 1, 2, 0, 1, 0]_freqs","cluster_[2, 1, 2, 0, 1, 2]_words","cluster_[2, 1, 2, 0, 1, 2]_freqs","cluster_[2, 1, 2, 0, 2, 0]_words","cluster_[2, 1, 2, 0, 2, 0]_freqs","cluster_[2, 1, 2, 0, 2, 2]_words","cluster_[2, 1, 2, 0, 2, 2]_freqs"
29,shown,99,road,50,colors,24,baby,154,look,94,truck,18,scene,27,taken,48,ground,74,see,228,bird,19,hat,75,chair,86,door,55,baby,102,food,395,sidewalk,23,train,32,which,28,short,284,wearing,15,name,144,plate,72,white,456,name,27,made,259,event,49
30,sky,91,background,48,weather,23,water,144,here,91,busy,18,look,25,was,47,snow,72,shown,221,animals,19,bench,73,looking,85,material,50,front,101,baby,382,ground,23,helmets,31,girl,28,tennis,283,players,15,windows,143,right,68,hanging,454,red,26,left,256,person,48
31,colors,89,was,45,right,22,behind,126,umbrellas,89,sunny,17,see,25,ground,46,field,69,horses,218,right,17,men,73,look,84,closed,48,top,94,table,377,top,22,background,31,kite,27,why,280,description,15,sky,142,behind,65,look,450,would,26,cup,252,sign,48
32,windows,86,short,44,going,22,description,122,visible,88,see,17,country,25,stripes,43,bird,67,description,212,looking,17,why,69,light,82,shape,47,plate,94,short,376,man,22,blue,29,behind,26,hat,274,right,14,see,138,arrow,64,desk,441,blue,25,look,249,sponsor,46
33,top,85,see,43,water,22,facing,121,traffic,87,boats,17,cars,24,animal,42,sky,65,skiing,208,girl,17,left,68,shown,82,chairs,47,hand,88,tie,346,black,21,red,28,where,25,sitting,269,athlete,14,why,135,plane,64,left,440,chairs,25,right,247,kind,43
34,vehicles,85,transportation,43,was,21,trees,115,clouds,82,plane,16,transportation,23,shown,41,day,64,flying,206,ground,17,hand,68,open,81,right,45,pattern,87,shoes,343,vehicle,20,head,28,sitting,24,frisbee,253,using,14,parking,135,language,63,time,440,green,25,eat,230,wearing,43
35,was,85,why,43,left,20,horses,106,beach,79,place,16,person,22,beach,40,habitat,63,kite,204,see,16,playing,61,mirror,78,bed,45,child,84,cat,326,sign,20,bus,27,side,22,guy,243,which,13,bike,134,trees,61,used,439,time,25,utensil,219,behind,42
36,water,84,engine,42,sheep,20,why,105,country,75,cows,16,park,22,look,38,was,62,white,202,grass,15,bike,60,lights,77,computer,43,around,81,women,324,here,20,taken,27,look,22,women,238,boy,13,day,134,bench,61,stove,402,people,24,white,211,letter,42
37,background,84,air,42,ground,19,one,104,bench,73,sky,14,background,22,sand,37,fence,61,air,192,legs,15,cold,60,person,75,wall,43,left,80,standing,322,fence,19,chairs,26,clouds,22,type,237,standing,12,parked,126,road,60,open,395,company,23,orange,207,type,41
38,going,81,visible,41,see,19,front,103,season,73,ground,14,here,22,mountains,36,road,61,player,191,behind,14,helmet,59,people,75,one,43,dogs,80,game,317,blue,19,used,26,day,22,jacket,232,front,12,object,125,left,59,object,394,one,23,see,201,see,40
39,red,77,which,40,leaves,18,bus,100,night,72,trees,14,material,21,boats,35,area,60,day,191,look,14,women,56,why,72,lamp,41,neck,76,phone,311,cabinets,19,was,26,top,21,white,230,ready,11,people,122,grass,56,would,379,television,22,train,200,tennis,40
40,clocks,76,behind,40,stripes,17,direction,100,white,71,beach,13,left,21,scene,35,look,59,holding,184,eyes,14,water,55,walls,71,behind,39,right,70,hat,310,clouds,19,hats,26,type,21,skateboard,229,was,11,behind,119,type,56,front,371,shown,22,bread,199,side,39
41,taken,76,airline,40,who,16,airplane,99,light,70,station,12,boats,21,visible,34,walking,59,trees,182,long,13,going,54,laptop,67,wood,36,look,70,animal,306,background,19,here,26,bench,21,bike,229,play,10,white,118,yellow,52,here,367,different,21,bananas,193,laptop,38
42,made,74,sky,39,people,16,tall,96,truck,69,vehicle,12,vehicle,21,which,33,like,59,surfboard,182,elephant,13,guy,51,standing,66,toilet,36,sleeping,70,old,301,table,17,riding,25,truck,21,see,228,trying,10,cars,118,direction,52,door,366,mouse,21,dog,189,background,36
43,why,74,modern,39,long,15,moving,96,birds,68,visible,12,why,21,truck,33,description,58,taken,181,bear,13,skateboard,50,short,65,hair,34,people,68,why,294,white,17,why,25,water,20,umbrella,228,event,10,meter,118,car,50,shower,361,kind,21,person,185,top,35
44,side,70,passengers,38,shown,15,vehicle,95,ground,67,night,12,colors,20,mountain,32,scene,57,played,179,collar,13,eating,50,behind,64,used,34,animals,67,head,275,open,17,shown,25,background,20,pants,226,hitting,10,sunny,113,tree,49,plate,361,frame,20,fruits,178,boy,35
45,road,70,landing,38,spots,15,here,95,place,65,transportation,12,bus,20,person,32,bears,53,wave,177,bus,13,ball,49,collar,64,house,34,playing,64,lady,271,person,17,sitting,24,umbrellas,20,hair,221,surface,10,lights,111,words,49,paper,350,lamp,20,side,174,red,35
46,behind,67,area,37,sitting,14,camera,92,area,65,bus,11,different,19,tall,30,green,52,background,174,fence,12,lady,49,tv,58,left,33,see,63,using,257,front,17,umbrellas,24,cat,19,going,221,indoors,10,vehicle,110,green,49,chair,348,size,20,red,166,logo,35
47,stop,66,coming,37,made,14,bears,91,cloudy,62,called,11,trees,19,made,30,pictured,46,was,171,left,12,jacket,48,front,55,large,33,eat,63,pants,250,day,17,woman,23,red,19,ground,218,called,9,right,108,writing,49,mirror,334,train,20,plates,162,blue,34
48,seen,66,look,36,elephant,14,pictured,91,seen,61,pictured,11,wearing,18,spots,30,A,46,frisbee,167,kite,12,see,47,bears,55,brown,33,laying,59,see,249,cars,17,road,23,wheels,19,dog,218,yet,9,here,108,cloudy,48,short,328,person,19,called,161,website,34
49,visible,65,boat,36,pulling,14,background,90,vehicles,59,shown,11,right,17,time,30,horse,44,behind,166,birds,12,hair,45,pattern,54,clean,33,candles,57,guy,247,back,17,parked,23,bear,18,shoes,214,returning,9,pole,107,top,46,people,328,wood,19,fork,158,healthy,33
